userName,content,score
Muhammad Luthfiansyah,Tidak ada kejelasan mengenain pengiriman dan dibatalkan pun pihak zalora tidak tidak bisa memberikan informasi jelas,1
Ayub Hs,kualitas barang ok,5
Maulana Thariqh Al Ghifari,This Art That,5
Made ropijai,pilih warna gk ada,5
Niko Adi putra,Kalo ada bintang nol sih saya kasih bintang nol aplikasi sampah di suruh chat cs giliran chat cs malah gada yang online lawak,1
Nur Kholis Achmad,jamin asli,5
eddy chow,proses cepat,5
Ana Maria,Barangnya bener2 ori dan banyak diskon nya pula..,5
Budi Siswanto,keterangan produk sangat detail,5
Sri Wiyono,MANTAP,5
Cakra Merah,BRAVO good produck,5
Igar Bramasko,Zalora yg mengawali bebas pengembalian. Sekarang yg paling buruk di semua pengembalian platform. Uda ekspedisi lemot². Pengembalian jd super lemot,1
Muhammad Fazir,good job,5
Fitrat Adiyuliandito,bagus,5
SAFRIDO Edho,bagus,5
tony trenica,ok,5
Jason I. W,"Kecewa dengan pelayanan. Barang tidak dikirim2 (lewat dari estimasi yg diberikan). Akhirnya di cancel, proses pengembalian dana infonya simpang siur (ada yg bilang 3 hari, ada yg bilang 45 hari)",1
ROSIHAN LATIEF,Barang yg dijual original. Tidak khawatir palsu atau kw,4
Faisal Arrahman,"Lebih percaya ZALORA dibanding sebelah... Zalora Real harganya, Real Kualitasnya",5
Jaenudin Jenno (Jenno),good ! apalagi diskon2 promo lebih gede lagi 👍🤠👍,4
Zekaria Batlayery,bagus apknya,5
Allisa Ratna,Besu itu,5
suprayogi riyanto,Pengiriman sangat lambat dan tidak profesional Tolong diperbaiki,1
Perdiansyah Perdi,produk bagus,5
radista keiser,good job,5
Simon Slon,barang original,5
Manchester Madrid,Gak lemgkap,1
FashionBetaOnist CHPro,semoga bisa lbh cepat,5
Heru Hendarto,"Kaga lagi lagi belanja disini cuma bikin kesel, keterangan pengiriman bisa sameday tapi nyatanya pesan dari kemaren belum juga dikirim, yg namanya sameday itu maksimal 6 jam sampai dari waktu order, bukan 1hr lbh blm juga sampai.. Toh percuma pakai sameday klo sampe nya berhari hari, udh bayar mahal sampe nya lama, Klo cara pelayanan seperti ini trus pada kabur orang, mending bli di blibli 1/2jam bener sampai",1
ronny moelyono,"Barang ga sesuai pengiriman lama, udah gitu minta di return di konfirmasi tapi ga pernah di pick up buat di return, susah ngubungin penjual kecewa berat",1
khaidir nasty,Ilmu moo...,1
Rus Mayadi,😍,5
Haswari,the best,5
Handoyo,Saya memesan barang di zalora 1 minggu hanya diproses saja tidak dikirim.Tidak bisa dilakukan pembatalan karena sistem pembatalan di zalora ditiadakan.Ditanya kapan estimasi dikirim tidak bisa menjawab.Zalora hanya mementingkan keuntungkan pribadi semata tanpa mempedulikan konsumen,1
Dion Septian,ok,5
Sindra Pranata,bagus keren,5
kuncoro jati,"semua barang original, tidak mengecewakan, apl sangat ringan membantu sekali",5
muhtar rajasa,amazing,5
Mae Anita,aplikasi ini sangat bagus dan barang-barang nya pun sangat bagus,5
Dragon Dragon,kwalitas bagus,5
i'm Rann,"Pesen tgl 6, dikirim tgl 13.. Nyesel gw belanja di app ini.. Barang ori tp pengiriman lama, CS kaga bisa dihubungi, cuma dikasi ngobrol ama bot.. Pertama dan terakhir gw pesen barang disini.. Berharap pengiriman.y cepat, tp malah zonk, mending gw belanja offline.. Buat kalian yg butuh barang disini, pesan sebulan sebelum.y biar sampai yepat waktu.. Modal jualan barang ori aja, pelayanan minus, pengiriman lelet",1
Mulyadi,Tidak bisa lagi melihat semua produk.,1
Evi Aliani,"Zalora bener² ketat sama kualitas barang yang dijual di platform mereka. Selama beli barang² disini ga pernah ada cerita ""barang ga sesuai gambar"" atau semacamnya. Brand dan merek yang masuk juga ga eceng²",5
Uzla Cantik,nggak ada matinya,5
Ujang Anwar,"Saya merasa puas belanja di zalora, tadinya sempat ragu takut tertipu belanja online karena aku pernah mengalaminya di aplikasi laen. Tap setelah aku belanja di zalora aku merasa puas karena barang yang datang sama seperti yang aku pesan.",5
Irfan Sidin,mantap,5
Dymaz Juga Dwy,"Barang Ori, mantap",5
Palka Widianto,"Maaf bintang satu, kecewa dengan zalora padahal sudah langganan dr dulu, tp untuk retur barang sulit, d aplikasinya rekomendasi pakai Indomaret tp pas ke Indomaret pihak Indomaret nya tidak menerima paket retur dr zalora, terus cara saya nge retur gmna, klo gak bsa lewat indomaret jgn d rekomendasi dr aplikasi",1
Rudi Nasution,sangat berkualitas,5
Hamb Oersen,utk sementara kasi bintang 2 dulu,2
Ira Sumaira,recommended,5
umarwira wira,Baik,4
Irwanto Wonosobo,Barang ori tidak mengecewakan pelanggan/konsumen.,5
Alivia Hanum,Saya kecewa beli skincare disini exp datenya dekat tp tidak ada keterangan di deskripsinya,1
Riyan Saprudin,baik,5
Dailola Madlauw,produknya mantap²,3
Nathanael,"Thanku Zalora saya kira pelayan refundnya bakal lama, ternyata cepet ya, terimakasih sudah membantu untuk menyelesaikan kasus paket saya, terimakasih kak Rony sebagai customer service agent sudah membantu untuk refund uang terhadap paket saya yang hilang 🙏",5
Novi Widyasari,good,5
Milka Toraja,"Jangan beli di zalora, barang nya belum di kirim kirim , padahal sudah lunas pembayaran melalui virtual account, barang nya belum di kiri, hanya kata maaf saja, tidak ada tindakan yang jelas",1
"Luthfi Rachman, drg",Pas warna dan ukurannya,5
Gagal Geming,sangat baik,2
Robby Sugandi,i like this apk,5
Riska Ramadani,Sy suka blanja di zalora krn ukuran nya pas d sy walaupun onlin,5
Erwin 5151,Sangat mudah di gunakan,5
agung tri,barangnya ori,5
Maaf Lag,Pengembalian barang tapi bayar????????,1
Defenisi Putra Gulo,"Aplikasi tidak memuaskan, tdk ada menu utk chat dgn call center hanya bisa virtual assistant saja",3
bozowa bozowa,ukuran sepatu 42 ya,5
Bilal Ramadan,👌,4
Iwan Pt Aka,mantap keren...,5
Rizky Maulana,puas,5
wan Sitompul,tolong buat pihak Zalora live chat di respon . saya beli bukan mau ngutang . mengecewakan sekali,1
asep ridwan purnawansah,selali asli dan jujur bukan diskon jebakan,5
Raka Siwi,😍😍,5
Akhmad Affandi B,mantaaappppp,5
Alfi syahrin,Bisa2nya produk hamlin lolos di zalora ckck,1
Achy Asrie,"Bagus, semua barang original.cuman biaya pengiriman yg relatif tinggi di banding toko sebelah",5
yaala Raihan,"Aplikasi zalora tidak seperti yang dulu, yang gampang menghub cs , pengembalian dan penarikan dana. Skrg minta ampun ribetnya . Dulu pengembalian barang bisa banyak expedisi skrg cuma 2, dan yg satunya pun tjdak ada dikota saya. Mau menarik dana pun saya bingung dengan pilihannya.jangan sampai aplikasi lain berlomba2 dengan update kemudahan berbelanja zalora malah updatenya malah tambah susah",1
Rendy sugar,mudah dalam transaksi,5
anisa anjeli,mantaf,5
rajab agus (Rajab),setuju,5
Aman Haposan Sinamo,baik,4
Rizky Pamungkas,"Order pesanan saya kemana❓ Dari tanggal 25/8/2024 hingga kini tidak sampai hingga melewati batas waktu estimasi yang sudah ditentukan, padahal saya beli di official store yang terafiliasi dari Zalora dengan pembayaran secara langsung transfer via virtual account BCA 🤔",1
Intan Nurmalinasari,bagus,5
La Macca,"mantap,,, pertahankan kualiatas keasliannya",5
Ridho Ari saputra,sangat memuaskan,5
Zainab Alhinduan,Good👍,5
Tius Saputra,good,5
Ika Sipahutar,kalau bisa mengenai ukuran dibuat perbandingan dengan ukuran versi Indonesia. terimakasih,4
Mata Air,Cuan,5
Guna Wan,Aplikasi burik. Susah penggunaan nya. Pake bahasa Inggris .,1
Edy “edi” Cahyadi,semua ori,5
fajar pikekah,mantap,5
adnand suhaimi,nice,5
Rafi 0182,Apasi gajelas masa gada internet,1
Selviana Nurfadhila,knp pencariannya beda sama yg gw ketik?? apk aneh...,1
Hendra,nice functional,5
Ammi Christine,"aplikasi terpercaya buat belanja produk brand, mudah digunakan, dan produk yang ditawarkan di dalamnya sangat beragam.",5
R R,baik,5
Aan Setyo,good,5
Hafizh Adillah,nice,5
Hafid Pradana,baik,5
Bintang Perabot,keren,5
Fah Riadi,Baik,4
Sulton Mz,bagus,5
Zelie Imoet,"nice &cute product,,,😍",5
Yusrizal Taufik,barangnya semuanya original👍🏻,5
Liliana Iryouw,amazing products in app . lovely,5
Alga Eliza,Sangat menyenangkan lebih murah belanja di zalora cuman kalau boleh saran cashback jangan ada masa tenggangnya kalau pun ada minta tolong di perpanjang agak lama terimakasih sebelumnya,5
Jefry A Nurkamiden,Is okey....👍👍👍,5
d'la vega,mudah dan banyak diskon,5
Nadine Tria Syariva,"mau retur barang aja ekspedisnya ga kompeten, jadi gimana dg service retur brg kalian? update status diaplikasi sudah dipick up padahal belum sama sekali. gimana ni?",1
Joker Quinn,The original branded things platform... Exclusive and I like it so much,5
Mahrus Gacor,bagus,3
Baenesell 15,bagus,5
zudi kusmeri,"Aplikasi apaan ini, loadingnya lama bgt. Tu bintang satu udah pantas",1
Fauzan Vrinanda,Satu hal yang bikin bagus dari kompetitor lain yaitu bisa refund dan retur 👍,5
Faisal Achmad Pontoh,Bagus,5
Nor Hayati,baik,5
Hendra Santoso,"Sy kecewa dgn zolora. Sy pesan 2 item baju dgn merek yg sama ,dgn pembayaran COD. Malah yg dikirim cuman 1 item tp sy bayar untuk 2 item baju. Harusnya konfirmasi jika barang tidak ada, jgn mengambil uang pelanggan tanpa ada barang yg sesuai pesanan",1
Alfarizqi Kinaan Mifzal,Tampilan Produk Diwebsite menarik. Website ringan saat dibuka dan saat transaksi. Diskon menarik.,5
Rafly77 Rafly77,"sangat mudah untuk berbelanja, terjangkau bren bernama",5
